컨텍,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",2023.11.9,12월,이성희,http://kr.contec.kr/,대전광역시
큐로셀,372320,자연과학 및 공학 연구개발업,CAR-T 세포치료제,2023.11.9,12월,김건수,http://curocellbtx.com,대전광역시
쏘닉스,88280,반도체 제조업,RF필터 파운드리,2023.11.7,12월,양형국,http://www.sawnics.com,경기도
KB제27호스팩,464680,금융 지원 서비스업,기업인수합병,2023.11.3,12월,이태영,,서울특별시
세니젠,188260,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등",2023.11.3,12월,박정웅,http://sanigen.kr,경기도
신시웨이,290560,소프트웨어 개발 및 공급업,DB보안솔루션 등,2023.11.3,12월,정재훈,,서울특별시
유진테크놀로지,240600,기타 금속 가공제품 제조업,이차전지 정밀금형 외,2023.11.2,12월,"여현국, 이미연",http://www.yujintechnology.com/,충청북도
유투바이오,221800,기타 과학기술 서비스업,"체외진단검사서비스, 의료IT솔루션",2023.11.2,12월,김진태,http://www.u2bio.com,서울특별시
퀄리타스반도체,432720,반도체 제조업,초고속 통신용 반도체 IP,2023.10.27,12월,김두호,http://q-semi.com,경기도
워트,396470,특수 목적용 기계 제조업,초정밀 온습도 제어장비,2023.10.26,12월,박승배,http://wot.co.kr,경기도
에스엘에스바이오,246250,"그외 기타 전문, 과학 및 기술 서비스업","의약품 품질관리, 신약개발지원, 체외진단기기",2023.10.20,12월,이영태,http://www.slabs.co.kr,경기도
신성에스티,416180,자동차 신품 부품 제조업,전기차/2차전지 Busbar 및 배터리모듈 보호 부품 등,2023.10.19,12월,안병두,http://shinsungst.co.kr,경상남도
퓨릿,445180,기초 화학물질 제조업,"반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬",2023.10.18,12월,문재웅,http://purit.co.kr,경상북도
에이치엠씨제6호스팩,462020,금융 지원 서비스업,합병,2023.10.13,12월,한웅,,서울특별시
아이엠티,451220,특수 목적용 기계 제조업,건식세정 장비 및 EUV Mask Baking Laser,2023.10.10,12월,최재성,http://www.imt-c.co.kr/kor/,경기도
레뷰코퍼레이션,443250,광고업,"REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)",2023.10.6,12월,장대규,http://corp.revu.net,서울특별시
신한제11호스팩,452980,금융 지원 서비스업,금융서비스(기업인수목적 회사),2023.10.4,12월,-,,서울특별시
한싹,430690,소프트웨어 개발 및 공급업,망간자료전송,2023.10.4,12월,이주도,http://www.hanssak.co.kr,서울특별시
밀리의서재,418470,"서적, 잡지 및 기타 인쇄물 출판업",전자책 정기구독 서비스,2023.9.27,12월,서영택,http://www.millie.co.kr/v3/brand/update,서울특별시
인스웨이브시스템즈,450520,소프트웨어 개발 및 공급업,"UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등",2023.9.25,12월,어세룡,http://www.inswave.com,서울특별시
